"Precinct","DATE","n"
49,2014-01-07,6
50,2014-01-07,2
52,2014-01-07,7
60,2014-01-07,4
61,2014-01-07,11
62,2014-01-07,9
63,2014-01-07,6
66,2014-01-07,8
67,2014-01-07,7
68,2014-01-07,4
69,2014-01-07,6
70,2014-01-07,8
71,2014-01-07,5
72,2014-01-07,4
73,2014-01-07,4
75,2014-01-07,10
76,2014-01-07,0
77,2014-01-07,5
78,2014-01-07,2
79,2014-01-07,4
81,2014-01-07,3
83,2014-01-07,0
84,2014-01-07,7
88,2014-01-07,0
90,2014-01-07,4
94,2014-01-07,5
100,2014-01-07,2
101,2014-01-07,1
102,2014-01-07,8
103,2014-01-07,7
104,2014-01-07,12
105,2014-01-07,22
106,2014-01-07,4
107,2014-01-07,7
108,2014-01-07,11
109,2014-01-07,20
110,2014-01-07,7
111,2014-01-07,4
112,2014-01-07,5
113,2014-01-07,8
114,2014-01-07,10
115,2014-01-07,3
120,2014-01-07,4
121,2014-01-07,1
122,2014-01-07,6
123,2014-01-07,5
1,2014-01-08,6
5,2014-01-08,3
6,2014-01-08,4
7,2014-01-08,2
9,2014-01-08,4
10,2014-01-08,4
13,2014-01-08,4
14,2014-01-08,13
17,2014-01-08,9
18,2014-01-08,10
19,2014-01-08,18
20,2014-01-08,7
22,2014-01-08,2
23,2014-01-08,4
24,2014-01-08,3
25,2014-01-08,3
26,2014-01-08,2
28,2014-01-08,1
30,2014-01-08,0
32,2014-01-08,3
33,2014-01-08,3
34,2014-01-08,4
40,2014-01-08,9
41,2014-01-08,4
42,2014-01-08,1
43,2014-01-08,1
44,2014-01-08,6
45,2014-01-08,2
46,2014-01-08,1
47,2014-01-08,7
48,2014-01-08,5
49,2014-01-08,6
50,2014-01-08,2
52,2014-01-08,9
60,2014-01-08,1
61,2014-01-08,11
62,2014-01-08,7
63,2014-01-08,5
66,2014-01-08,10
67,2014-01-08,9
68,2014-01-08,8
69,2014-01-08,3
70,2014-01-08,8
71,2014-01-08,6
72,2014-01-08,10
73,2014-01-08,9
75,2014-01-08,11
76,2014-01-08,4
77,2014-01-08,9
78,2014-01-08,6
79,2014-01-08,3
81,2014-01-08,3
83,2014-01-08,5
84,2014-01-08,5
88,2014-01-08,5
90,2014-01-08,9
94,2014-01-08,5
100,2014-01-08,0
101,2014-01-08,2
102,2014-01-08,10
103,2014-01-08,14
104,2014-01-08,6
105,2014-01-08,27
106,2014-01-08,10
107,2014-01-08,11
108,2014-01-08,22
109,2014-01-08,21
110,2014-01-08,6
111,2014-01-08,11
112,2014-01-08,8
113,2014-01-08,13
114,2014-01-08,10
115,2014-01-08,14
120,2014-01-08,7
121,2014-01-08,0
122,2014-01-08,11
123,2014-01-08,5
1,2014-01-09,9
5,2014-01-09,5
6,2014-01-09,2
7,2014-01-09,4
9,2014-01-09,6
10,2014-01-09,6
13,2014-01-09,6
14,2014-01-09,10
17,2014-01-09,7
18,2014-01-09,14
19,2014-01-09,15
20,2014-01-09,3
22,2014-01-09,1
23,2014-01-09,4
24,2014-01-09,2
25,2014-01-09,1
26,2014-01-09,5
28,2014-01-09,3
30,2014-01-09,4
32,2014-01-09,7
33,2014-01-09,5
34,2014-01-09,4
40,2014-01-09,2
41,2014-01-09,0
42,2014-01-09,4
43,2014-01-09,10
44,2014-01-09,2
45,2014-01-09,8
46,2014-01-09,4
47,2014-01-09,9
48,2014-01-09,5
49,2014-01-09,6
50,2014-01-09,2
52,2014-01-09,9
60,2014-01-09,6
61,2014-01-09,10
62,2014-01-09,3
63,2014-01-09,5
66,2014-01-09,13
67,2014-01-09,4
68,2014-01-09,4
69,2014-01-09,3
70,2014-01-09,3
71,2014-01-09,3
72,2014-01-09,3
73,2014-01-09,6
75,2014-01-09,12
76,2014-01-09,6
77,2014-01-09,4
78,2014-01-09,4
79,2014-01-09,4
81,2014-01-09,2
83,2014-01-09,5
84,2014-01-09,4
88,2014-01-09,1
90,2014-01-09,10
94,2014-01-09,9
100,2014-01-09,2
101,2014-01-09,2
102,2014-01-09,9
103,2014-01-09,4
104,2014-01-09,10
105,2014-01-09,14
106,2014-01-09,14
107,2014-01-09,8
108,2014-01-09,13
109,2014-01-09,17
110,2014-01-09,5
111,2014-01-09,5
112,2014-01-09,5
113,2014-01-09,9
114,2014-01-09,10
115,2014-01-09,8
120,2014-01-09,14
121,2014-01-09,0
122,2014-01-09,7
123,2014-01-09,6
1,2014-01-10,10
5,2014-01-10,7
6,2014-01-10,3
7,2014-01-10,2
9,2014-01-10,4
10,2014-01-10,6
13,2014-01-10,10
14,2014-01-10,14
17,2014-01-10,14
18,2014-01-10,9
19,2014-01-10,18
20,2014-01-10,8
22,2014-01-10,2
23,2014-01-10,5
24,2014-01-10,5
25,2014-01-10,6
26,2014-01-10,2
28,2014-01-10,3
30,2014-01-10,4
32,2014-01-10,1
33,2014-01-10,4
34,2014-01-10,4
40,2014-01-10,7
41,2014-01-10,9
42,2014-01-10,1
43,2014-01-10,8
44,2014-01-10,5
45,2014-01-10,6
46,2014-01-10,8
47,2014-01-10,12
48,2014-01-10,5
49,2014-01-10,7
50,2014-01-10,3
52,2014-01-10,9
60,2014-01-10,5
61,2014-01-10,8
62,2014-01-10,11
63,2014-01-10,8
66,2014-01-10,5
67,2014-01-10,16
68,2014-01-10,7
69,2014-01-10,5
70,2014-01-10,5
71,2014-01-10,10
72,2014-01-10,8
73,2014-01-10,6
75,2014-01-10,14
76,2014-01-10,3
77,2014-01-10,5
78,2014-01-10,4
79,2014-01-10,4
81,2014-01-10,4
83,2014-01-10,3
84,2014-01-10,11
88,2014-01-10,8
90,2014-01-10,5
94,2014-01-10,8
100,2014-01-10,4
101,2014-01-10,2
102,2014-01-10,8
103,2014-01-10,4
104,2014-01-10,12
105,2014-01-10,21
106,2014-01-10,7
107,2014-01-10,11
108,2014-01-10,12
109,2014-01-10,22
110,2014-01-10,10
111,2014-01-10,8
112,2014-01-10,5
113,2014-01-10,11
114,2014-01-10,8
115,2014-01-10,12
120,2014-01-10,14
121,2014-01-10,1
122,2014-01-10,11
123,2014-01-10,1
1,2014-01-11,3
5,2014-01-11,8
6,2014-01-11,5
7,2014-01-11,0
9,2014-01-11,4
10,2014-01-11,8
13,2014-01-11,4
14,2014-01-11,13
17,2014-01-11,6
18,2014-01-11,7
19,2014-01-11,9
20,2014-01-11,5
22,2014-01-11,0
23,2014-01-11,4
24,2014-01-11,0
25,2014-01-11,3
26,2014-01-11,1
28,2014-01-11,1
30,2014-01-11,2
32,2014-01-11,4
33,2014-01-11,1
34,2014-01-11,4
40,2014-01-11,5
41,2014-01-11,2
42,2014-01-11,3
43,2014-01-11,5
44,2014-01-11,4
45,2014-01-11,3
46,2014-01-11,7
47,2014-01-11,11
48,2014-01-11,3
49,2014-01-11,2
50,2014-01-11,1
52,2014-01-11,6
60,2014-01-11,4
61,2014-01-11,3
62,2014-01-11,11
63,2014-01-11,9
66,2014-01-11,1
67,2014-01-11,8
68,2014-01-11,1
69,2014-01-11,1
70,2014-01-11,5
71,2014-01-11,4
72,2014-01-11,5
73,2014-01-11,4
75,2014-01-11,14
76,2014-01-11,0
77,2014-01-11,8
78,2014-01-11,4
79,2014-01-11,2
81,2014-01-11,2
83,2014-01-11,6
84,2014-01-11,3
88,2014-01-11,2
90,2014-01-11,13
94,2014-01-11,4
100,2014-01-11,1
101,2014-01-11,3
102,2014-01-11,6
103,2014-01-11,1
104,2014-01-11,8
105,2014-01-11,12
106,2014-01-11,10
107,2014-01-11,7
108,2014-01-11,11
109,2014-01-11,13
110,2014-01-11,9
111,2014-01-11,5
112,2014-01-11,4
113,2014-01-11,4
114,2014-01-11,11
115,2014-01-11,9
120,2014-01-11,5
121,2014-01-11,3
122,2014-01-11,3
123,2014-01-11,6
1,2014-01-12,3
5,2014-01-12,4
6,2014-01-12,5
7,2014-01-12,2
9,2014-01-12,4
10,2014-01-12,6
13,2014-01-12,10
14,2014-01-12,6
17,2014-01-12,5
18,2014-01-12,5
19,2014-01-12,13
20,2014-01-12,1
22,2014-01-12,0
23,2014-01-12,2
24,2014-01-12,1
25,2014-01-12,2
26,2014-01-12,1
28,2014-01-12,4
30,2014-01-12,0
32,2014-01-12,1
33,2014-01-12,3
34,2014-01-12,4
40,2014-01-12,0
41,2014-01-12,0
42,2014-01-12,0
43,2014-01-12,3
44,2014-01-12,2
45,2014-01-12,4
46,2014-01-12,2
47,2014-01-12,6
48,2014-01-12,2
49,2014-01-12,2
50,2014-01-12,2
52,2014-01-12,4
60,2014-01-12,1
61,2014-01-12,10
62,2014-01-12,8
63,2014-01-12,4
66,2014-01-12,10
67,2014-01-12,6
68,2014-01-12,2
69,2014-01-12,2
70,2014-01-12,3
71,2014-01-12,6
72,2014-01-12,3
73,2014-01-12,5
75,2014-01-12,17
76,2014-01-12,1
77,2014-01-12,5
78,2014-01-12,5
79,2014-01-12,3
81,2014-01-12,4
83,2014-01-12,6
84,2014-01-12,1
88,2014-01-12,5
90,2014-01-12,8
94,2014-01-12,1
100,2014-01-12,1
101,2014-01-12,0
102,2014-01-12,3
103,2014-01-12,0
104,2014-01-12,6
105,2014-01-12,12
106,2014-01-12,2
107,2014-01-12,3
108,2014-01-12,10
109,2014-01-12,9
110,2014-01-12,6
111,2014-01-12,8
112,2014-01-12,2
113,2014-01-12,8
114,2014-01-12,7
115,2014-01-12,5
120,2014-01-12,5
121,2014-01-12,0
122,2014-01-12,5
123,2014-01-12,2
1,2014-01-13,7
5,2014-01-13,6
6,2014-01-13,1
7,2014-01-13,3
9,2014-01-13,4
10,2014-01-13,8
13,2014-01-13,4
14,2014-01-13,10
17,2014-01-13,5
18,2014-01-13,10
19,2014-01-13,12
20,2014-01-13,6
22,2014-01-13,0
23,2014-01-13,4
24,2014-01-13,0
25,2014-01-13,3
26,2014-01-13,1
28,2014-01-13,1
30,2014-01-13,2
32,2014-01-13,4
33,2014-01-13,4
34,2014-01-13,2
40,2014-01-13,6
41,2014-01-13,5
42,2014-01-13,2
43,2014-01-13,7
44,2014-01-13,7
45,2014-01-13,4
46,2014-01-13,4
47,2014-01-13,6
48,2014-01-13,6
49,2014-01-13,9
50,2014-01-13,3
52,2014-01-13,5
60,2014-01-13,8
61,2014-01-13,6
62,2014-01-13,9
63,2014-01-13,8
66,2014-01-13,21
67,2014-01-13,11
68,2014-01-13,7
69,2014-01-13,7
70,2014-01-13,8
71,2014-01-13,8
72,2014-01-13,7
73,2014-01-13,7
75,2014-01-13,9
76,2014-01-13,5
77,2014-01-13,6
78,2014-01-13,4
79,2014-01-13,7
81,2014-01-13,5
83,2014-01-13,2
84,2014-01-13,9
88,2014-01-13,4
90,2014-01-13,4
94,2014-01-13,8
100,2014-01-13,0
101,2014-01-13,0
102,2014-01-13,13
103,2014-01-13,5
104,2014-01-13,9
105,2014-01-13,14
106,2014-01-13,10
107,2014-01-13,8
108,2014-01-13,17
109,2014-01-13,15
110,2014-01-13,9
111,2014-01-13,2
112,2014-01-13,3
113,2014-01-13,11
114,2014-01-13,8
115,2014-01-13,10
120,2014-01-13,5
121,2014-01-13,4
122,2014-01-13,7
123,2014-01-13,1
1,2014-01-14,8
5,2014-01-14,2
6,2014-01-14,2
7,2014-01-14,6
9,2014-01-14,8
10,2014-01-14,7
13,2014-01-14,5
14,2014-01-14,4
17,2014-01-14,11
18,2014-01-14,17
19,2014-01-14,17
20,2014-01-14,5
22,2014-01-14,2
23,2014-01-14,7
24,2014-01-14,4
25,2014-01-14,7
26,2014-01-14,0
28,2014-01-14,2
30,2014-01-14,1
32,2014-01-14,1
33,2014-01-14,4
34,2014-01-14,1
40,2014-01-14,6
41,2014-01-14,3
42,2014-01-14,3
43,2014-01-14,6
44,2014-01-14,6
45,2014-01-14,6
46,2014-01-14,1
47,2014-01-14,8
48,2014-01-14,2
49,2014-01-14,10
50,2014-01-14,2
52,2014-01-14,5
60,2014-01-14,5
61,2014-01-14,9
62,2014-01-14,6
63,2014-01-14,7
66,2014-01-14,7
67,2014-01-14,3
68,2014-01-14,4
69,2014-01-14,2
70,2014-01-14,10
71,2014-01-14,4
72,2014-01-14,6
73,2014-01-14,6
75,2014-01-14,10
76,2014-01-14,3
77,2014-01-14,3
78,2014-01-14,5
79,2014-01-14,5
81,2014-01-14,3
83,2014-01-14,3
84,2014-01-14,11
88,2014-01-14,4
90,2014-01-14,7
94,2014-01-14,5
100,2014-01-14,2
101,2014-01-14,2
102,2014-01-14,8
103,2014-01-14,9
104,2014-01-14,8
105,2014-01-14,15
106,2014-01-14,7
107,2014-01-14,9
108,2014-01-14,8
109,2014-01-14,19
110,2014-01-14,12
111,2014-01-14,14
112,2014-01-14,11
113,2014-01-14,8
114,2014-01-14,11
115,2014-01-14,7
120,2014-01-14,6
121,2014-01-14,5
122,2014-01-14,4
123,2014-01-14,6
1,2014-01-15,14
5,2014-01-15,4
6,2014-01-15,4
7,2014-01-15,5
9,2014-01-15,4
10,2014-01-15,7
13,2014-01-15,14
14,2014-01-15,7
17,2014-01-15,11
18,2014-01-15,9
19,2014-01-15,20
20,2014-01-15,5
22,2014-01-15,2
23,2014-01-15,3
24,2014-01-15,1
25,2014-01-15,5
26,2014-01-15,2
28,2014-01-15,5
30,2014-01-15,1
32,2014-01-15,0
33,2014-01-15,7
34,2014-01-15,2
40,2014-01-15,5
41,2014-01-15,2
42,2014-01-15,3
43,2014-01-15,14
44,2014-01-15,3
45,2014-01-15,7
46,2014-01-15,4
47,2014-01-15,18
48,2014-01-15,7
49,2014-01-15,6
50,2014-01-15,7
52,2014-01-15,5
60,2014-01-15,6
61,2014-01-15,9
62,2014-01-15,5
63,2014-01-15,7
66,2014-01-15,13
67,2014-01-15,9
68,2014-01-15,11
69,2014-01-15,3
70,2014-01-15,11
71,2014-01-15,5
72,2014-01-15,5
73,2014-01-15,1
75,2014-01-15,4
76,2014-01-15,2
77,2014-01-15,2
78,2014-01-15,5
79,2014-01-15,3
81,2014-01-15,3
83,2014-01-15,1
84,2014-01-15,10
88,2014-01-15,2
90,2014-01-15,6
94,2014-01-15,1
100,2014-01-15,1
101,2014-01-15,2
102,2014-01-15,5
103,2014-01-15,13
104,2014-01-15,3
105,2014-01-15,12
106,2014-01-15,5
